algorithm,pop_condition,n_players,n_rounds,n_cats,opponent_type,society_pop_sum,agent_final_pop,agent_percentile,agent_won,initial_class
EEE,equal,5,30,1,cabsonecat,416.45065668091826,2.3290088709698327,0.6,0,equal
AleqgAATr,equal,15,10,0,cabsnocat,2132.2226393286205,149.47772811008014,0.4666666666666667,0,equal
AleqgAATr,equal,15,10,0,cabsnocat,2601.360907279146,157.35759599223223,0.2,0,equal
AleqgAATr,equal,15,10,0,cabsnocat,2598.3715474334876,118.8268472049757,0.06666666666666667,0,equal
AleqgAATr,equal,15,10,0,cabsnocat,2461.5897884800684,167.39121686475443,0.4666666666666667,0,equal
AleqgAATr,equal,15,10,0,cabsnocat,2484.0085488368636,165.78438873689944,0.6,0,equal
MADQN,equal,5,40,0,randoms,173.94094233520997,167.0570673973684,1.0,1,equal
MADQN,equal,5,40,0,randoms,186.62271110844443,178.21004783747358,1.0,1,equal
MADQN,equal,5,40,0,randoms,177.71507538186168,169.48687977129273,1.0,1,equal
MADQN,equal,5,40,0,randoms,196.528498665822,186.13632732770145,1.0,1,equal
MADQN,equal,5,40,0,randoms,184.79276646155475,179.12151455588796,1.0,1,equal
SW-UCB,equal,5,10,2,banditsociety,280.3583388572374,0.0,0.2,0,equal
SW-UCB,equal,5,10,2,banditsociety,283.67536103428415,0.0,0.4,0,equal
SW-UCB,equal,5,10,2,banditsociety,456.03077918137916,72.39880176291523,0.4,0,equal
SW-UCB,equal,5,10,2,banditsociety,447.7175673756886,71.3177261233133,0.4,0,equal
SW-UCB,equal,5,10,2,banditsociety,280.3583388572374,0.0,0.2,0,equal
AlegAATr,equal,15,40,1,cabsrandomparams,2554.6288097375855,375.50370447225254,0.9333333333333333,0,equal
AlegAATr,equal,15,40,1,cabsrandomparams,2566.394983517789,337.2930909795697,1.0,1,equal
AlegAATr,equal,15,40,1,cabsrandomparams,1459.3349585123287,2.1684043449710089e-16,0.06666666666666667,0,equal
AlegAATr,equal,15,40,1,cabsrandomparams,964.3583745231582,1.5612511283791264e-17,0.13333333333333333,0,equal
AlegAATr,equal,15,40,1,cabsrandomparams,2858.117792844424,0.2538509889328342,0.06666666666666667,0,equal
D-UCB,equal,20,20,2,cabsonecat,1828.3270610591073,103.64583326798841,0.45,0,equal
D-UCB,equal,20,20,2,cabsonecat,1818.2637691753323,121.88833637812577,0.9,0,equal
D-UCB,equal,20,20,2,cabsonecat,2548.7907786221663,0.08278012726193062,0.3,0,equal
D-UCB,equal,20,20,2,cabsonecat,2602.5499927157302,2.220446049250313e-16,0.05,0,equal
D-UCB,equal,20,20,2,cabsonecat,2140.628087745114,6.661338147750939e-16,0.3,0,equal
RAlegAATr,equal,5,20,1,cabsrandomparams,408.9534687986157,81.79069375972314,1.0,1,equal
MADQN,equal,20,20,1,cabsrandomparams,2384.145236298444,91.95684983880388,0.1,0,equal
MADQN,equal,20,20,1,cabsrandomparams,2584.7024055588663,168.2767463815785,0.75,0,equal
MADQN,equal,20,20,1,cabsrandomparams,1495.1733617210402,8.881784197001252e-16,0.1,0,equal
MADQN,equal,20,20,1,cabsrandomparams,1846.3480150726748,3.7922860668326206,0.15,0,equal
MADQN,equal,20,20,1,cabsrandomparams,2040.5101429833824,17.704477057375335,0.15,0,equal
R-UCB,equal,20,20,0,mixture,2413.4059329762727,0.47308312824561627,0.1,0,equal
R-UCB,equal,20,20,0,mixture,2353.155300522394,60.783288997140886,0.2,0,equal
R-UCB,equal,20,20,0,mixture,2296.07422968472,18.987333944023238,0.35,0,equal
R-UCB,equal,20,20,0,mixture,3471.5746949704408,3.092781444646293,0.05,0,equal
R-UCB,equal,20,20,0,mixture,2225.489844609071,59.88244703972192,0.2,0,equal
MADQN,equal,20,30,1,cabsrandomparams,3481.96499923056,238.44805046283872,0.85,0,equal
MADQN,equal,20,30,1,cabsrandomparams,3295.1260675533913,207.949602167607,0.8,0,equal
MADQN,equal,20,30,1,cabsrandomparams,2659.1370226283525,142.0009431848184,0.5,0,equal
MADQN,equal,20,30,1,cabsrandomparams,3463.6963373302515,238.67885645199107,0.85,0,equal
MADQN,equal,20,30,1,cabsrandomparams,1404.7772578234565,0.6095546354459198,0.15,0,equal
RAlegAATr,equal,5,30,1,cabsrandomparams,228.22829029308076,0.9470473880697253,0.6,0,equal
R-UCB,equal,20,30,0,mixture,3258.6155596552735,39.381697679243416,0.25,0,equal
R-UCB,equal,20,30,0,mixture,2927.7046701511676,1.3770508598974267,0.25,0,equal
R-UCB,equal,20,30,0,mixture,4394.266282244923,0.06986608798834892,0.1,0,equal
R-UCB,equal,20,30,0,mixture,2105.2187446688736,4.340055704006272,0.3,0,equal
