algorithm,pop_condition,n_players,n_rounds,n_cats,opponent_type,society_pop_sum,agent_final_pop,agent_percentile,agent_won
EXP4,equal,5,20,0,cabsonecat,1002.329784738,70.76870698880708,0.4,0
EXP4,equal,5,20,0,cabsonecat,910.8144893028359,47.88465689626897,0.2,0
EXP4,equal,5,20,0,cabsonecat,934.6531333004843,67.61132732698238,0.2,0
EXP4,equal,5,20,0,cabsonecat,925.3210396362624,62.92054482196134,0.2,0
AlegAATr,equal,10,10,0,cabsrandomparams,1186.5749002771754,96.30158423330693,0.1,0
AlegAATr,equal,10,10,0,cabsrandomparams,1166.8909205216685,132.00538473176874,0.7,0
AlegAATr,equal,10,10,0,cabsrandomparams,1049.0708783597863,64.38974187697234,0.1,0
AlegAATr,equal,10,10,0,cabsrandomparams,1216.2257528423347,117.93938380995024,0.4,0
AlegAATr,equal,10,10,0,cabsrandomparams,1294.710071139949,152.3318845492332,0.9,0
D-UCB,equal,15,20,0,cabsnocat,4250.137640929033,116.61332377649633,0.06666666666666667,0
D-UCB,equal,15,20,0,cabsnocat,4114.346503260654,78.74514002322624,0.06666666666666667,0
D-UCB,equal,15,20,0,cabsnocat,4240.531994859942,56.96702428063735,0.06666666666666667,0
D-UCB,equal,15,20,0,cabsnocat,4194.536147773317,70.0243687101087,0.06666666666666667,0
D-UCB,equal,15,20,0,cabsnocat,4170.533148445205,98.46773505377382,0.06666666666666667,0
SW-UCB,equal,10,20,1,selfplay,800.7731233412294,100.43231337550738,0.6,0
SW-UCB,equal,10,20,1,selfplay,800.7731233412294,100.43231337550738,0.6,0
SW-UCB,equal,10,20,1,selfplay,800.7731233412294,100.43231337550738,0.6,0
SW-UCB,equal,10,20,1,selfplay,800.7731233412294,100.43231337550738,0.6,0
SW-UCB,equal,10,20,1,selfplay,800.7731233412294,100.43231337550738,0.6,0
EXP4,equal,5,20,2,mixture,186.75554004973782,3.1086244689504383e-15,0.4,0
EXP4,equal,5,20,2,mixture,379.53079064683124,110.75667017900854,0.6,0
EXP4,equal,5,20,2,mixture,281.38860153701694,6.661338147750939e-16,0.4,0
EXP4,equal,5,20,2,mixture,244.42628914318283,2.6645352591003757e-15,0.4,0
EXP4,equal,5,20,2,mixture,339.12127736835066,90.25968991331239,0.6,0
DQN,equal,5,40,0,cabsnocat,2787.66242029681,28.277445643955343,0.2,0
DQN,equal,5,40,0,cabsnocat,4188.190059661662,32.17164984288256,0.2,0
DQN,equal,5,40,0,cabsnocat,3727.293247001381,30.107800369341707,0.2,0
DQN,equal,5,40,0,cabsnocat,4077.1776610520906,27.07427245530723,0.2,0
DQN,equal,5,40,0,cabsnocat,2309.9521211378697,15.488441277944188,0.2,0
EEE,equal,20,10,0,randoms,1053.937405101052,111.91887430358136,0.95,0
EEE,equal,20,10,0,randoms,1062.3049092419192,189.2707402100727,1.0,1
EEE,equal,20,10,0,randoms,1085.117514961145,152.15173140255874,1.0,1
EEE,equal,20,10,0,randoms,1080.542296272572,132.10306462800366,1.0,1
EEE,equal,20,10,0,randoms,1058.544286548162,124.95896711819528,1.0,1
EXP4,equal,5,30,0,cabsonecat,1656.9959779876267,48.50403876503669,0.2,0
EXP4,equal,5,30,0,cabsonecat,2069.232929178651,34.12443605269907,0.2,0
EXP4,equal,5,30,0,cabsonecat,938.1072883910944,50.63327942289119,0.2,0
EXP4,equal,5,30,0,cabsonecat,1219.4400788772919,110.78900690840044,0.6,0
EXP4,equal,5,30,0,cabsonecat,1227.385367419817,67.28174915373695,0.4,0
D-UCB,equal,5,40,2,selfplay,334.48587928484073,66.89717585696815,1.0,1
D-UCB,equal,5,40,2,selfplay,334.48587928484073,66.89717585696815,1.0,1
D-UCB,equal,5,40,2,selfplay,334.48587928484073,66.89717585696815,1.0,1
D-UCB,equal,5,40,2,selfplay,334.48587928484073,66.89717585696815,1.0,1
D-UCB,equal,5,40,2,selfplay,334.48587928484073,66.89717585696815,1.0,1
D-UCB,equal,15,30,0,cabsnocat,7695.013319418357,37.132765880045085,0.06666666666666667,0
D-UCB,equal,15,30,0,cabsnocat,7651.3188576575385,48.085562189699665,0.06666666666666667,0
D-UCB,equal,15,30,0,cabsnocat,7729.65653596031,39.69473531636892,0.06666666666666667,0
D-UCB,equal,15,30,0,cabsnocat,6233.790744480369,41.26777448030437,0.06666666666666667,0
D-UCB,equal,15,30,0,cabsnocat,7307.2401665648085,63.66090444923998,0.06666666666666667,0
SW-UCB,equal,10,30,1,selfplay,734.4888751245951,91.76981888984585,0.7,0
SW-UCB,equal,10,30,1,selfplay,732.6910609626902,98.94975882429122,1.0,1
SW-UCB,equal,10,30,1,selfplay,732.6910609626902,98.94975882429122,1.0,1
SW-UCB,equal,10,30,1,selfplay,734.4888751245951,91.76981888984585,0.7,0
SW-UCB,equal,10,30,1,selfplay,734.4888751245951,91.76981888984585,0.7,0
EXP4,equal,5,30,2,mixture,222.58296389197372,0.0,0.2,0
EXP4,equal,5,30,2,mixture,292.6445413953837,2.4841240175987878e-15,0.2,0
EXP4,equal,5,30,2,mixture,231.9635703047825,5.551115123125783e-17,0.2,0
EXP4,equal,5,30,2,mixture,164.85070708523477,0.8080414816122324,0.6,0
EXP4,equal,5,30,2,mixture,319.4733909107448,78.1118676798915,0.6,0
EXP4,equal,10,40,0,cabsonecat,8114.207754128279,33.55219332293148,0.1,0
EXP4,equal,10,40,0,cabsonecat,6145.828807678663,58.48675964296662,0.3,0
EXP4,equal,10,40,0,cabsonecat,8151.368966976126,61.23389879416278,0.1,0
EXP4,equal,10,40,0,cabsonecat,6492.545751286629,121.45311236208325,0.1,0
EXP4,equal,10,40,0,cabsonecat,5922.830194613928,31.43284350690359,0.1,0
DQN,equal,20,10,2,cabsonecat,2762.3379145186823,129.9197244091036,0.2,0
DQN,equal,20,10,2,cabsonecat,2860.59169876586,144.06468803404562,0.3,0
DQN,equal,20,10,2,cabsonecat,2349.138018825181,5.329070518200751e-15,0.1,0
DQN,equal,20,10,2,cabsonecat,2603.820111750231,115.44183642224428,0.4,0
DQN,equal,20,10,2,cabsonecat,2211.679422681882,120.03173672932219,0.75,0
AlegAATr,equal,10,30,2,randoms,482.1535866291176,126.36406933872642,0.8,0
AlegAATr,equal,10,30,2,randoms,493.64656309678475,132.23588900777116,0.8,0
AlegAATr,equal,10,30,2,randoms,489.9823560989579,125.93204614404738,0.8,0
AlegAATr,equal,10,30,2,randoms,467.69687346168735,87.84979740041177,0.8,0
AlegAATr,equal,10,30,2,randoms,507.6854527422632,120.9591953477214,0.8,0
AlegAATr,equal,10,20,2,randoms,567.7123243567422,137.51801797745955,0.8,0
AlegAATr,equal,10,20,2,randoms,566.6878913435078,153.31961949561503,0.8,0
AlegAATr,equal,10,20,2,randoms,549.4906711497127,143.25910778887763,0.8,0
AlegAATr,equal,10,20,2,randoms,553.1559546771905,146.51213016504315,0.8,0
AlegAATr,equal,10,20,2,randoms,573.5049641603591,162.5974356229819,0.8,0
D-UCB,equal,20,40,2,randoms,647.2658291339287,142.29340028802898,0.9,0
D-UCB,equal,20,40,2,randoms,648.6179363868677,155.76012397609693,0.9,0
D-UCB,equal,20,40,2,randoms,599.688117735452,147.7897985960736,0.9,0
D-UCB,equal,20,40,2,randoms,655.8169899046609,166.87890972032207,0.9,0
D-UCB,equal,20,40,2,randoms,656.4401689866755,148.55104650179862,0.9,0
EEE,equal,5,10,0,selfplay,477.256706965673,122.93433639319902,1.0,1
EEE,equal,5,10,0,selfplay,455.83309459608165,97.71980271623548,1.0,1
EEE,equal,5,10,0,selfplay,590.9758592991383,156.8461166322869,1.0,1
EEE,equal,5,10,0,selfplay,459.3660361924833,92.60798184052825,0.8,0
EEE,equal,5,10,0,selfplay,488.30568149995906,93.66836097567145,0.6,0
EXP4,equal,15,10,0,selfplay,1605.0132067703107,129.69815932793625,0.9333333333333333,0
EXP4,equal,15,10,0,selfplay,1555.5776870730817,103.02405767524732,0.4,0
EXP4,equal,15,10,0,selfplay,1586.1202609094023,100.38882380442163,0.5333333333333333,0
EXP4,equal,15,10,0,selfplay,1574.5763980085994,102.7341325558756,0.4666666666666667,0
EXP4,equal,15,10,0,selfplay,1608.4756798420021,109.50304943328835,0.6,0
UCB,equal,20,10,0,banditsociety,2063.1841224847726,123.96957594768386,0.9,0
UCB,equal,20,10,0,banditsociety,2029.2418791902849,101.1712847583861,0.75,0
UCB,equal,20,10,0,banditsociety,2026.5909819569972,93.66916894476773,0.4,0
UCB,equal,20,10,0,banditsociety,2059.679713833245,121.29462179036332,0.9,0
UCB,equal,20,10,0,banditsociety,2016.9251893309863,76.88849856197675,0.1,0
EEE,equal,20,40,1,banditsociety,1929.3323388087936,117.25618753740338,0.65,0
EEE,equal,20,40,1,banditsociety,1987.1429246833586,85.51183618822942,0.4,0
EEE,equal,20,40,1,banditsociety,2414.044731651652,163.72834308482504,0.85,0
EEE,equal,20,40,1,banditsociety,1787.4894976881935,128.5827347667576,0.8,0
EEE,equal,20,40,1,banditsociety,2242.517157248192,94.64791679524136,0.3,0
AlegAATr,equal,15,10,2,cabstwocats,1315.29623591375,9.915433977835066,0.06666666666666667,0
AlegAATr,equal,15,10,2,cabstwocats,1341.2203348683868,52.711344882828726,0.06666666666666667,0
AlegAATr,equal,15,10,2,cabstwocats,1295.8127419507748,0.0,0.06666666666666667,0
AlegAATr,equal,15,10,2,cabstwocats,1338.9993152879047,38.59537609845011,0.06666666666666667,0
AlegAATr,equal,15,10,2,cabstwocats,1343.4402987848366,70.17632747107005,0.06666666666666667,0
EXP4,equal,10,20,1,randoms,201.858035481895,0.07323150403140888,0.2,0
EXP4,equal,10,20,1,randoms,249.77332204384817,3.7364548653094727,0.9,0
EXP4,equal,10,20,1,randoms,479.079790304242,188.14764963197902,0.9,0
EXP4,equal,10,20,1,randoms,281.1233689445962,0.9496091616218378,0.6,0
EXP4,equal,10,20,1,randoms,214.20761093264807,3.7023544675281195,0.9,0
R-UCB,equal,15,40,2,cabsrandomparams,2746.192437100316,105.0598198958829,0.4666666666666667,0
R-UCB,equal,15,40,2,cabsrandomparams,2694.370376198531,0.8523436320405966,0.4,0
R-UCB,equal,15,40,2,cabsrandomparams,2103.538244090404,74.0348953308535,0.4,0
R-UCB,equal,15,40,2,cabsrandomparams,3223.8054785031163,78.28981436929767,0.26666666666666666,0
R-UCB,equal,15,40,2,cabsrandomparams,2611.8901701870805,113.21781902136817,0.4,0
AlegAATr,equal,20,40,1,banditsociety,1016.7440069292818,140.11960912671987,0.95,0
AlegAATr,equal,20,40,1,banditsociety,2166.506718818154,102.36318599583923,0.4,0
AlegAATr,equal,20,40,1,banditsociety,2252.2591367214054,83.49336080687544,0.05,0
AlegAATr,equal,20,40,1,banditsociety,1937.8913820428193,52.4641653210087,0.05,0
AlegAATr,equal,20,40,1,banditsociety,2263.755385612217,69.49477023923157,0.3,0
EEE,equal,10,10,1,cabsnocat,1368.249799533949,132.86518365660078,0.4,0
EEE,equal,10,10,1,cabsnocat,1000.6413272451177,158.22927659030594,0.9,0
EEE,equal,10,10,1,cabsnocat,1402.41973485435,154.21043322316564,0.7,0
EEE,equal,10,10,1,cabsnocat,723.2810935587999,114.33110671171319,0.9,0
EEE,equal,10,10,1,cabsnocat,1204.1209371116722,56.570162168654306,0.2,0
DQN,equal,10,40,1,banditsociety,793.6923617032885,76.83375266222056,0.3,0
DQN,equal,10,40,1,banditsociety,792.0821306403949,82.18251861634135,0.6,0
DQN,equal,10,40,1,banditsociety,893.9855990764563,88.9177285017672,0.6,0
DQN,equal,10,40,1,banditsociety,657.3931417951561,118.22522446751475,0.8,0
DQN,equal,10,40,1,banditsociety,1065.9775824077033,100.67405126597345,0.8,0
EXP4,equal,10,30,1,randoms,262.8732663258923,4.805303601514781,0.9,0
EXP4,equal,10,30,1,randoms,443.0245879148862,163.15129956074406,0.9,0
EXP4,equal,10,30,1,randoms,226.84468630514058,4.90603132913271,0.9,0
EXP4,equal,10,30,1,randoms,429.53968839009343,155.97333922690274,0.9,0
EXP4,equal,10,30,1,randoms,197.043621422419,1.671303590838729,0.9,0
UCB,equal,5,40,1,cabsrandomparams,287.18464468117514,65.54831716535433,0.4,0
UCB,equal,5,40,1,cabsrandomparams,278.9648976516161,66.02041661954893,0.4,0
UCB,equal,5,40,1,cabsrandomparams,279.8922736027489,65.9938897599668,0.6,0
UCB,equal,5,40,1,cabsrandomparams,283.05727032542086,65.67708483476984,0.6,0
UCB,equal,5,40,1,cabsrandomparams,370.86419362425056,88.94093615238921,0.6,0
EXP4,equal,20,20,0,mixture,2773.236918507994,143.362950214263,0.75,0
EXP4,equal,20,20,0,mixture,2385.728416259837,129.80089038722517,0.7,0
EXP4,equal,20,20,0,mixture,2832.29577790835,84.02311676767039,0.25,0
EXP4,equal,20,20,0,mixture,3581.9256613271295,85.20098235850443,0.25,0
EXP4,equal,20,20,0,mixture,3208.3760963874715,112.21103846078314,0.35,0
R-UCB,equal,20,40,1,cabsonecat,13917.229894227747,0.15567823320134636,0.05,0
R-UCB,equal,20,40,1,cabsonecat,13811.401118339058,5.5335162391771755,0.05,0
R-UCB,equal,20,40,1,cabsonecat,14330.113361243755,17.161060777732807,0.1,0
R-UCB,equal,20,40,1,cabsonecat,8087.436305571835,103.34339101982167,0.2,0
R-UCB,equal,20,40,1,cabsonecat,8285.917480045184,28.564069838970887,0.15,0
DQN,equal,10,10,2,mixture,550.7096428945669,133.36680468167583,1.0,1
DQN,equal,10,10,2,mixture,899.7032560319819,108.86010905489715,0.4,0
DQN,equal,10,10,2,mixture,666.9858730069241,111.06419419088743,0.7,0
DQN,equal,10,10,2,mixture,578.3114962683303,1.7763568394002505e-15,0.3,0
DQN,equal,10,10,2,mixture,821.2024727331188,119.29450260933523,0.7,0
EXP4,equal,20,30,0,mixture,2204.713282959351,116.37135027665859,0.4,0
EXP4,equal,20,30,0,mixture,3259.0961700418306,127.54135791716752,0.3,0
EXP4,equal,20,30,0,mixture,5354.306870015917,135.29737377650542,0.5,0
EXP4,equal,20,30,0,mixture,4564.900139798894,60.42730794488268,0.15,0
EXP4,equal,20,30,0,mixture,3229.52992682309,68.7011807854868,0.25,0
D-UCB,equal,5,10,1,cabsrandomparams,390.82874172151537,95.98993575715296,0.8,0
D-UCB,equal,5,10,1,cabsrandomparams,413.6912808668622,85.30737474793459,0.4,0
D-UCB,equal,5,10,1,cabsrandomparams,391.1616701665239,87.04433914008129,0.4,0
D-UCB,equal,5,10,1,cabsrandomparams,391.30024939426323,92.31197460427339,0.8,0
D-UCB,equal,5,10,1,cabsrandomparams,388.5128458227797,87.31066688743093,0.4,0
EEE,equal,20,10,1,selfplay,2133.6307568616016,94.41806500540503,0.25,0
EEE,equal,20,10,1,selfplay,2026.0641465664892,84.18533559083296,0.25,0
EEE,equal,20,10,1,selfplay,2043.9123516498871,105.32614290702581,0.65,0
EEE,equal,20,10,1,selfplay,2039.0110615750302,99.27080065700144,0.55,0
EEE,equal,20,10,1,selfplay,2028.7995481857047,92.12240321121274,0.3,0
R-UCB,equal,10,40,1,banditsociety,862.7007232050826,123.93897362964027,0.7,0
R-UCB,equal,10,40,1,banditsociety,1017.2495339127779,87.19461324539482,0.4,0
R-UCB,equal,10,40,1,banditsociety,1028.881083876675,73.23596700711552,0.2,0
R-UCB,equal,10,40,1,banditsociety,1137.3543801731178,86.48018874143334,0.4,0
R-UCB,equal,10,40,1,banditsociety,1238.9257857752275,72.75196727025563,0.2,0
R-UCB,equal,20,10,1,cabstwocats,1775.107916967952,84.51725062378583,0.1,0
R-UCB,equal,20,10,1,cabstwocats,1757.1246665137712,76.0026442125033,0.1,0
R-UCB,equal,20,10,1,cabstwocats,1771.5147968359286,82.8714010492968,0.1,0
R-UCB,equal,20,10,1,cabstwocats,1755.4411876762474,76.0291851296773,0.1,0
R-UCB,equal,20,10,1,cabstwocats,1807.125409850993,93.35016793214824,0.95,0
UCB,equal,15,10,2,banditsociety,1417.9221876526396,85.47191554527777,0.2,0
UCB,equal,15,10,2,banditsociety,1490.5997680310034,108.65864430275454,0.8666666666666667,0
UCB,equal,15,10,2,banditsociety,1446.193006687868,89.2166181648467,0.4,0
UCB,equal,15,10,2,banditsociety,1537.5673367267468,132.78706183761452,1.0,1
UCB,equal,15,10,2,banditsociety,1532.4165391451404,100.44664627998665,0.4,0
UCB,equal,20,10,0,cabsonecat,3247.392634290477,76.06656209627073,0.05,0
UCB,equal,20,10,0,cabsonecat,3258.0236739119723,77.53984303464874,0.05,0
UCB,equal,20,10,0,cabsonecat,3151.025207154615,83.0697395553766,0.05,0
UCB,equal,20,10,0,cabsonecat,3316.676148084265,123.52508127057398,0.1,0
UCB,equal,20,10,0,cabsonecat,3195.643803953983,89.27584500319148,0.05,0
DQN,equal,10,10,1,selfplay,992.8262652744826,87.98541451210258,0.1,0
DQN,equal,10,10,1,selfplay,981.5925949947336,112.77985280518982,0.9,0
DQN,equal,10,10,1,selfplay,829.866347568491,94.95542290359523,0.7,0
DQN,equal,10,10,1,selfplay,863.2271324082669,91.77032386314791,0.4,0
DQN,equal,10,10,1,selfplay,922.9443198969882,98.30596591207366,0.6,0
AlegAATr,equal,20,40,2,banditsociety,2801.9620940374134,193.80615820636115,0.7,0
AlegAATr,equal,20,40,2,banditsociety,3467.2604964822076,74.51984047015986,0.15,0
AlegAATr,equal,20,40,2,banditsociety,3367.5683973417226,224.3781870539784,0.9,0
AlegAATr,equal,20,40,2,banditsociety,1852.4504342633443,0.03432915173307458,0.4,0
AlegAATr,equal,20,40,2,banditsociety,3268.0220957977144,78.42638954157734,0.15,0
DQN,equal,10,20,1,banditsociety,997.3634220738575,139.29888624784152,1.0,1
DQN,equal,10,20,1,banditsociety,892.5134708240068,87.42957217136694,0.6,0
DQN,equal,10,20,1,banditsociety,972.6483404377341,61.3752847320004,0.1,0
DQN,equal,10,20,1,banditsociety,802.6943084337219,0.8140552584000957,0.1,0
DQN,equal,10,20,1,banditsociety,881.9576151401513,84.71466271660121,0.4,0
DQN,equal,5,20,0,banditsociety,408.9534687986157,81.79069375972314,1.0,1
DQN,equal,5,20,0,banditsociety,411.83241111746764,81.66633382319544,0.8,0
DQN,equal,5,20,0,banditsociety,408.9534687986157,81.79069375972314,1.0,1
DQN,equal,5,20,0,banditsociety,408.9534687986157,81.79069375972314,1.0,1
DQN,equal,5,20,0,banditsociety,409.526675830475,80.08413588420002,0.2,0
DQN,equal,10,30,1,banditsociety,1070.3708032577545,109.39954788739934,0.7,0
DQN,equal,10,30,1,banditsociety,995.4528668082212,2.8180767652095353,0.2,0
DQN,equal,10,30,1,banditsociety,1187.9985284113159,85.24574330238487,0.2,0
DQN,equal,10,30,1,banditsociety,1120.9200157340942,109.04392694195656,0.5,0
DQN,equal,10,30,1,banditsociety,989.778119232069,119.15567490964145,0.9,0
D-UCB,equal,5,40,1,cabsonecat,209.44439788703778,108.96528508369245,1.0,1
D-UCB,equal,5,40,1,cabsonecat,1703.4516044361098,36.49059252147544,0.6,0
D-UCB,equal,5,40,1,cabsonecat,1269.8336312627412,0.22994698365253033,0.2,0
D-UCB,equal,5,40,1,cabsonecat,235.11110449713686,78.28529125949713,0.8,0
D-UCB,equal,5,40,1,cabsonecat,211.85363484270027,0.0,0.4,0
EXP4,equal,15,40,1,cabsnocat,11286.738552489775,45.464462400635604,0.13333333333333333,0
EXP4,equal,15,40,1,cabsnocat,8278.26993287889,32.35422939153479,0.2,0
EXP4,equal,15,40,1,cabsnocat,8856.58695708601,0.9761999083744943,0.2,0
EXP4,equal,15,40,1,cabsnocat,9168.305713642609,47.217124134015776,0.26666666666666666,0
EXP4,equal,15,40,1,cabsnocat,4154.17626929817,0.29894882483197915,0.13333333333333333,0
DQN,equal,5,30,0,banditsociety,378.13192760493337,66.97584311997414,0.2,0
DQN,equal,5,30,0,banditsociety,371.3783809713524,69.42837812294519,0.2,0
DQN,equal,5,30,0,banditsociety,370.36858485902314,72.42665698617262,0.2,0
DQN,equal,5,30,0,banditsociety,369.8501866941406,73.97003733882812,1.0,1
DQN,equal,5,30,0,banditsociety,369.8501866941406,73.97003733882812,1.0,1
EEE,equal,15,20,2,cabsrandomparams,1577.5523576366381,103.26554497178886,0.5333333333333333,0
EEE,equal,15,20,2,cabsrandomparams,1872.0851866788344,75.90975677661444,0.06666666666666667,0
EEE,equal,15,20,2,cabsrandomparams,1668.6465309023622,106.09492986775832,0.5333333333333333,0
EEE,equal,15,20,2,cabsrandomparams,1967.4851404302763,115.61595509264161,0.5333333333333333,0
EEE,equal,15,20,2,cabsrandomparams,1651.5544744236827,4.440892098500626e-16,0.06666666666666667,0
SW-UCB,equal,5,30,2,banditsociety,302.3284740013603,78.08895542834857,1.0,1
SW-UCB,equal,5,30,2,banditsociety,294.1415705470615,78.89999404703605,1.0,1
SW-UCB,equal,5,30,2,banditsociety,369.8501866941406,73.97003733882812,1.0,1
SW-UCB,equal,5,30,2,banditsociety,302.3284740013603,78.08895542834857,1.0,1
SW-UCB,equal,5,30,2,banditsociety,369.8501866941406,73.97003733882812,1.0,1
EEE,equal,15,10,1,banditsociety,1494.8265435707426,102.88286231569654,0.5333333333333333,0
EEE,equal,15,10,1,banditsociety,1457.0300350069588,84.24222218160696,0.26666666666666666,0
EEE,equal,15,10,1,banditsociety,1548.043527804939,111.85522707674099,0.9333333333333333,0
EEE,equal,15,10,1,banditsociety,1536.4608468810864,98.0599429748245,0.3333333333333333,0
EEE,equal,15,10,1,banditsociety,1536.555195824625,125.96043986659554,0.8666666666666667,0
EXP4,equal,10,10,0,banditsociety,965.9040280757778,114.19610380490067,0.8,0
EXP4,equal,10,10,0,banditsociety,968.9126640214884,88.43918920507052,0.3,0
EXP4,equal,10,10,0,banditsociety,982.4718472346876,93.03675943993315,0.4,0
EXP4,equal,10,10,0,banditsociety,986.63717187903,110.07403776068216,0.9,0
EXP4,equal,10,10,0,banditsociety,994.8992597398153,98.07067604288889,0.6,0
EEE,equal,15,30,2,cabsrandomparams,1868.9385014672127,105.50276853449431,0.4666666666666667,0
EEE,equal,15,30,2,cabsrandomparams,2058.0907521040913,67.15661035621591,0.2,0
EEE,equal,15,30,2,cabsrandomparams,2192.0082930286676,180.8064745938807,0.8,0
EEE,equal,15,30,2,cabsrandomparams,1759.5374338308163,0.85462415565662,0.26666666666666666,0
EEE,equal,15,30,2,cabsrandomparams,1994.3803347335024,87.23653999823495,0.2,0
AlegAATr,equal,10,10,0,selfplay,904.3820750088048,90.43820750088048,1.0,1
AlegAATr,equal,10,10,0,selfplay,904.3820750088048,90.43820750088048,1.0,1
AlegAATr,equal,10,10,0,selfplay,904.3820750088048,90.43820750088048,1.0,1
AlegAATr,equal,10,10,0,selfplay,904.3820750088048,90.43820750088048,1.0,1
AlegAATr,equal,10,10,0,selfplay,904.3820750088048,90.43820750088048,1.0,1
D-UCB,equal,15,10,2,randoms,913.1718493957914,141.89734349308844,0.8666666666666667,0
D-UCB,equal,15,10,2,randoms,970.2819479521111,136.67851461922686,0.8666666666666667,0
D-UCB,equal,15,10,2,randoms,904.4946973508654,134.4253040508641,0.8666666666666667,0
D-UCB,equal,15,10,2,randoms,938.15042957207,139.79739210918294,0.8666666666666667,0
D-UCB,equal,15,10,2,randoms,933.488014474443,137.97008239225065,0.8666666666666667,0
SW-UCB,equal,5,20,2,banditsociety,325.24038088751865,87.24188161997884,1.0,1
SW-UCB,equal,5,20,2,banditsociety,408.9534687986157,81.79069375972314,1.0,1
SW-UCB,equal,5,20,2,banditsociety,349.4381386311517,89.87103611524728,1.0,1
SW-UCB,equal,5,20,2,banditsociety,334.29286399360166,86.34509406012944,1.0,1
SW-UCB,equal,5,20,2,banditsociety,408.9534687986157,81.79069375972314,1.0,1
UCB,equal,15,40,0,banditsociety,2258.218114194682,182.39992747213074,0.8,0
UCB,equal,15,40,0,banditsociety,2976.8431839951622,166.57038784490462,0.26666666666666666,0
UCB,equal,15,40,0,banditsociety,2537.5884037880087,133.0066835591507,0.26666666666666666,0
UCB,equal,15,40,0,banditsociety,2513.173262925634,124.89544185268511,0.4,0
UCB,equal,15,40,0,banditsociety,2361.6612955927726,172.3936157563088,0.7333333333333333,0
EXP4,equal,20,40,0,selfplay,2292.938198450486,98.82508569400449,0.3,0
EXP4,equal,20,40,0,selfplay,2217.815034816008,91.51793346557426,0.25,0
EXP4,equal,20,40,0,selfplay,2093.080248407289,134.88874808101124,0.95,0
EXP4,equal,20,40,0,selfplay,2036.8529307102026,98.17698121404067,0.4,0
EXP4,equal,20,40,0,selfplay,2039.5706380106744,95.83094419264879,0.5,0
R-UCB,equal,5,20,0,selfplay,408.9534687986157,81.79069375972314,1.0,1
R-UCB,equal,5,20,0,selfplay,408.9534687986157,81.79069375972314,1.0,1
R-UCB,equal,5,20,0,selfplay,408.9534687986157,81.79069375972314,1.0,1
R-UCB,equal,5,20,0,selfplay,408.9534687986157,81.79069375972314,1.0,1
R-UCB,equal,5,20,0,selfplay,408.9534687986157,81.79069375972314,1.0,1
R-UCB,equal,5,30,0,selfplay,369.8501866941406,73.97003733882812,1.0,1
R-UCB,equal,5,30,0,selfplay,369.8501866941406,73.97003733882812,1.0,1
R-UCB,equal,5,30,0,selfplay,369.8501866941406,73.97003733882812,1.0,1
R-UCB,equal,5,30,0,selfplay,369.8501866941406,73.97003733882812,1.0,1
R-UCB,equal,5,30,0,selfplay,369.8501866941406,73.97003733882812,1.0,1
DQN,equal,15,40,2,cabsonecat,820.6770025823967,0.31945981024793124,0.5333333333333333,0
DQN,equal,15,40,2,cabsonecat,1344.8830838194356,63.055093780623686,0.2,0
DQN,equal,15,40,2,cabsonecat,7117.2851371185125,23.75411860485213,0.06666666666666667,0
DQN,equal,15,40,2,cabsonecat,3453.386831447386,51.88365893087075,0.6666666666666666,0
DQN,equal,15,40,2,cabsonecat,1387.3641435220618,84.34702065321326,0.4666666666666667,0
AlegAATr,equal,5,10,0,mixture,406.25097838234615,138.6902445651759,1.0,1
AlegAATr,equal,5,10,0,mixture,567.9975707506351,82.66689390621434,0.2,0
AlegAATr,equal,5,10,0,mixture,484.5350664891204,101.13220616396897,0.8,0
AlegAATr,equal,5,10,0,mixture,677.4334814992382,98.09868532635836,0.4,0
AlegAATr,equal,5,10,0,mixture,423.9854404300898,106.2138268551505,0.8,0
R-UCB,equal,10,30,1,mixture,2139.627971955658,59.846592687078534,0.4,0
R-UCB,equal,10,30,1,mixture,2983.938888273575,53.32593991987739,0.4,0
R-UCB,equal,10,30,1,mixture,686.9822502438169,66.85845724654484,0.3,0
R-UCB,equal,10,30,1,mixture,629.833128411107,79.7312716801211,0.6,0
R-UCB,equal,10,30,1,mixture,1564.93145299981,83.94076155159557,0.4,0
EEE,equal,15,40,0,randoms,274.2094266660246,229.76404961909722,1.0,1
EEE,equal,15,40,0,randoms,393.80215800639957,363.749652235147,1.0,1
EEE,equal,15,40,0,randoms,241.37134853990295,176.4081148880092,1.0,1
EEE,equal,15,40,0,randoms,360.5697519098503,331.79238121266064,1.0,1
EEE,equal,15,40,0,randoms,245.3782490246866,190.60614523048784,1.0,1
DQN,equal,5,10,2,mixture,452.19103750440246,90.4382075008805,1.0,1
DQN,equal,5,10,2,mixture,316.31918940731373,5.329070518200751e-15,0.4,0
DQN,equal,5,10,2,mixture,202.88456887659373,0.0,0.4,0
DQN,equal,5,10,2,mixture,283.975684539359,0.0,0.2,0
DQN,equal,5,10,2,mixture,310.47966070160356,1.13648856065989,0.4,0
DQN,equal,15,20,1,cabstwocats,1199.5885378942112,84.40579310823476,0.6,0
DQN,equal,15,20,1,cabstwocats,1172.2786252144726,64.13664222715607,0.13333333333333333,0
DQN,equal,15,20,1,cabstwocats,1392.6160541467227,88.78920519270339,0.4,0
DQN,equal,15,20,1,cabstwocats,1179.1284245611419,19.218018134129686,0.2,0
